Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,16.82,16.90,16.459999,16.58,14369700,16.58
2017-01-19,17.09,17.15,16.75,16.790001,12694500,16.790001
2017-01-18,17.01,17.139999,16.83,17.110001,12393400,17.110001
2017-01-17,17.07,17.09,16.860001,16.959999,13112700,16.959999
2017-01-13,17.379999,17.66,17.23,17.25,11278100,17.25
2017-01-12,17.129999,17.389999,16.959999,17.379999,12334300,17.379999
2017-01-11,17.459999,17.60,17.17,17.299999,10849200,17.299999
2017-01-10,17.51,17.780001,17.32,17.370001,10395700,17.370001
2017-01-09,17.219999,17.559999,17.190001,17.50,11851500,17.50
2017-01-06,17.24,17.43,17.110001,17.17,14637500,17.17
2017-01-05,16.91,17.27,16.799999,17.09,17043600,17.09
2017-01-04,16.50,16.940001,16.50,16.860001,15844100,16.860001
2017-01-03,16.309999,16.450001,16.209999,16.440001,11127300,16.440001
2016-12-30,16.309999,16.57,16.219999,16.299999,13923200,16.299999
2016-12-29,16.389999,16.65,16.299999,16.389999,14648300,16.389999
2016-12-28,16.629999,16.73,16.290001,16.389999,13459100,16.389999
2016-12-27,16.52,16.870001,16.42,16.610001,12998500,16.610001
2016-12-23,16.34,16.67,16.16,16.50,17971900,16.50
